time_s,temperature_C,pwm,heat_cool
118.17,24.81,213,0
118.29,24.74,213,0
118.42,24.67,213,0
118.54,24.61,213,0
118.66,24.55,213,0
118.78,24.48,213,0
118.9,24.42,213,0
119.03,24.38,213,0
119.15,24.3,213,0
119.27,24.23,213,0
119.39,24.17,213,0
119.52,24.11,213,0
119.64,24.04,213,0
119.76,24.0,213,0
119.88,23.92,213,0
120.01,23.86,213,0
120.13,23.81,213,0
120.25,23.75,213,0
120.37,23.68,213,0
120.5,23.62,213,0
120.62,23.55,213,0
120.74,23.5,213,0
120.86,23.44,213,0
120.99,23.38,213,0
121.11,23.32,213,0
121.23,23.25,213,0
121.35,23.2,213,0
121.48,23.13,213,0
121.6,23.09,213,0
121.72,23.02,213,0
121.84,22.96,213,0
121.97,22.9,213,0
122.09,22.84,213,0
122.21,22.78,213,0
122.33,22.72,213,0
122.46,22.67,213,0
122.58,22.61,213,0
122.7,22.55,213,0
122.82,22.5,213,0
122.94,22.43,213,0
123.07,22.37,213,0
123.19,22.31,213,0
123.31,22.25,213,0
123.43,22.19,213,0
123.56,22.13,213,0
123.68,22.08,213,0
123.8,22.02,213,0
123.92,21.97,213,0
124.05,21.91,213,0
124.17,21.84,213,0
124.29,21.79,213,0
124.41,21.73,213,0
124.54,21.67,213,0
124.66,21.61,213,0
124.78,21.56,213,0
124.9,21.51,213,0
125.03,21.45,213,0
125.15,21.39,213,0
125.27,21.34,213,0
125.39,21.28,213,0
125.51,21.23,213,0
125.64,21.17,213,0
125.76,21.12,213,0
125.88,21.06,213,0
126.0,21.01,213,0
126.13,20.95,213,0
126.25,20.89,213,0
126.37,20.84,213,0
126.49,20.78,213,0
126.62,20.73,213,0
126.74,20.68,213,0
126.86,20.62,213,0
126.98,20.57,213,0
127.11,20.51,213,0
127.23,20.45,213,0
127.35,20.4,213,0
127.47,20.35,213,0
127.6,20.29,213,0
127.72,20.24,213,0
127.84,20.19,213,0
127.96,20.13,213,0
128.09,20.08,213,0
128.21,20.03,213,0
128.33,19.97,213,0
128.45,19.92,213,0
128.58,19.87,213,0
128.7,19.81,213,0
128.82,19.76,213,0
128.94,19.71,213,0
129.06,19.65,213,0
129.19,19.6,213,0
129.31,19.55,213,0
129.43,19.49,213,0
129.55,19.44,213,0
129.68,19.4,213,0
129.8,19.34,213,0
129.92,19.29,213,0
130.04,19.24,213,0
130.17,19.18,213,0
130.29,19.14,213,0
130.41,19.09,213,0
130.53,19.03,213,0
130.66,18.99,213,0
130.78,18.94,213,0
130.9,18.89,213,0
131.02,18.84,213,0
131.15,18.79,213,0
131.27,18.74,213,0
131.39,18.68,213,0
131.51,18.64,213,0
131.63,18.59,213,0
131.76,18.54,213,0
131.88,18.49,214,0
132.0,18.44,213,0
132.12,18.38,213,0
132.25,18.35,213,0
132.37,18.29,213,0
132.49,18.25,213,0
132.61,18.2,213,0
132.74,18.15,213,0
132.86,18.1,213,0
132.98,18.05,213,0
133.1,17.99,213,0
133.23,17.95,213,0
133.35,17.9,214,0
133.47,17.86,213,0
133.59,17.82,213,0
133.72,17.77,213,0
133.84,17.72,213,0
133.96,17.67,213,0
134.08,17.62,213,0
134.21,17.57,213,0
134.33,17.54,213,0
134.45,17.49,213,0
134.57,17.44,213,0
134.69,17.4,213,0
134.82,17.35,213,0
134.94,17.3,213,0
135.06,17.25,213,0
135.18,17.21,213,0
135.31,17.15,214,0
135.43,17.11,213,0
135.55,17.06,213,0
135.67,17.01,213,0
135.8,16.97,213,0
135.92,16.94,213,0
136.04,16.87,213,0
136.16,16.83,214,0
136.29,16.8,214,0
136.41,16.75,213,0
136.53,16.7,213,0
136.65,16.66,213,0
136.77,16.61,213,0
136.9,16.56,213,0
137.02,16.52,213,0
137.14,16.47,213,0
137.27,16.43,213,0
137.39,16.39,213,0
137.51,16.35,214,0
137.63,16.31,213,0
137.75,16.26,213,0
137.88,16.22,214,0
138.0,16.18,213,0
138.12,16.13,213,0
138.25,16.09,213,0
138.37,16.04,213,0
138.49,16.0,213,0
138.61,15.96,213,0
138.73,15.92,213,0
138.86,15.88,213,0
138.98,15.83,213,0
139.1,15.79,213,0
139.22,15.74,213,0
139.35,15.7,213,0
139.47,15.66,213,0
139.59,15.62,213,0
139.71,15.57,213,0
139.84,15.53,213,0
139.96,15.49,213,0
140.08,15.45,213,0
140.2,15.41,213,0
140.32,15.37,213,0
140.45,15.33,213,0
140.57,15.29,213,0
140.69,15.25,213,0
140.81,15.21,213,0
140.94,15.17,213,0
141.06,15.13,213,0
141.18,15.09,213,0
141.3,15.04,213,0
141.43,15.01,213,0
